id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4826,The Place,6603,Kaan,,Uskudar,41.0565,29.05367,Entire home/apt,713,1,1,2009-06-01,0.01,1,365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984,29.04545,Entire home/apt,808,365,41,2018-11-07,0.33,2,254
27271,LOVELY APT. IN PERFECT LOCATION,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,225,20,13,2018-05-04,0.19,1,363
28277,Duplex Apartment with Terrace,121607,Alen,,Sisli,41.04471,28.98567,Hotel room,737,3,0,,,19,365
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09048,29.05559,Entire home/apt,815,3,0,,,1,88
29241,"↪ Istanbul, Your second house ",125742,Şevki,,Beyoglu,41.04844,28.95254,Private room,339,3,0,,,1,365
29692,bedroom with private shower and wc,127953,Aylin,,Sariyer,41.13536,29.04684,Private room,414,1,0,,,1,365
30697,nice home in popular area,132137,Nan,,Beyoglu,41.0335,28.97626,Private room,744,1,1,2010-06-14,0.01,1,365
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05382,28.99739,Private room,373,2,1,2014-10-21,0.01,2,364
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02704,28.97588,Private room,471,1,0,,,1,365
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.03658,28.97213,Entire home/apt,450,30,38,2020-02-03,0.49,3,364
35938,Cosy Room in Istanbul Center,154245,Sinan,,Besiktas,41.04902,28.99829,Private room,512,1,0,,,1,365
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02725,28.97718,Entire home/apt,437,5,46,2017-05-21,0.39,6,179
44429,"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",194194,Zeyno,,Beyoglu,41.03082,28.97958,Entire home/apt,314,5,22,2020-01-02,1.01,1,131
47264,Kurucesme stunning seaview peacfull Flat,213410,Evrim,,Besiktas,41.06464,29.0358,Entire home/apt,509,3,9,2019-09-02,0.08,6,360
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.03467,28.98902,Private room,341,3,0,,,1,365
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03485,29.03155,Entire home/apt,448,3,12,2017-07-04,0.13,3,365
49955,A room with a view of Bosphorous.,228352,Oz,,Fatih,41.01717,28.96325,Private room,373,1,0,,,1,365
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.02752,28.97858,Entire home/apt,437,5,27,2017-03-14,0.24,6,179
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.0385,28.98189,Entire home/apt,225,28,16,2016-12-31,0.16,4,364
60923,1+1 Closed to Taksim Square,294332,Selin,,Sisli,41.04693,28.98002,Entire home/apt,239,2,0,,,1,364
62172,Central Location Taksim/Cihangir ,302361,Nurten,,Beyoglu,41.03442,28.98561,Private room,594,3,0,,,3,0
62817,Quiet room in central apartment,305202,Oksan,,Beyoglu,41.03638,28.9909,Private room,300,2,74,2018-08-22,0.68,1,364
77190,flat with garden'n' terrace taksim,413150,Baris,,Beyoglu,41.03343,28.99057,Entire home/apt,211,5,33,2018-08-16,0.31,1,0
77292,Gümüşsuyu Apartment,414003,Gumussuyu,,Beyoglu,41.03656,28.98873,Entire home/apt,744,3,0,,,1,365
87024,Nisantasi Studio Apartment,413986,Nisantasi,,Sisli,41.05018,28.99015,Entire home/apt,1860,1,0,,,1,365
